id;sentence
1;Choose the correct translation for the word 'duck'
2;Choose the correct translation for the word 'ball'
3;Choose the correct translation for the word 'make'
4;Choose the correct translation for the word 'remember'
5;Choose the correct translation for the word 'day'
6;Choose the correct translation for the word 'grains'
7;Choose the correct translation for the word 'harvest'
8;Choose the correct translation for the word 'mountain'
9;Choose the correct translation for the word 'irritation'
10;Choose the correct translation for the word 'ant'
11;Choose the correct translation for the word 'chuckle'
12;Choose the correct translation for the word 'serene'
13;Choose the correct translation for the word 'investigation'
14;Choose the correct translation for the word 'acquintance'
15;Choose the correct translation for the word 'marvelous'
16;Choose the correct translation for the word 'dignity'
17;Choose the correct translation for the word 'diligent'
18;Choose the correct translation for the word 'tether'
